RAPiD Geno. Code,Code,RNA Removed?,Genomified?,Taxonomy,,,,,,
HOG_106201_P003_WA01,EP035,n,y,EP035_Ephemeroptera_Furcatergalia_Ephemerelloidea_Leptohyphidae_Leptohyphes_zalope,,,,,,
HOG_106201_P003_WB01,EP043,n,n,EP043_Ephemeroptera_Setisura_NA_Oligoneuriidae_Oligoneuriella_pallida,,,,,,
HOG_106201_P003_WC01,EP047,y,n,EP047_Ephemeroptera_Setisura_NA_Heptageniidae_Kageronia_fusrogrisea,,,,,,
HOG_106201_P003_WD01,EP051,y,y,EP051_Ephemeroptera_Pisciforma_NA_Ameletopsidae_Chiloporter_sp,,,,,,
HOG_106201_P003_WE01,EP055,n,y,EP055_Ephemeroptera_Furcatergalia_Ephemerelloidea_Leptohyphidae_Yaurina_mota,EP055,EP055,EP055,EP055,EP055,EP055
HOG_106201_P003_WF01,EP058,n,y,EP058_Ephemeroptera_Setisura_NA_Oligoneuriidae_Lachlania_dominguez,,,,,,
HOG_106201_P003_WG01,EP059,y,y,EP059_Ephemeroptera_Furcatergalia_NA_Polymitarcyidae_Tortopus_sp,EP059,EP059,EP059,EP059,EP059,EP059
HOG_106201_P003_WH01,EP087,y,y,EP087_Ephemeroptera_Carapacea_NA_Baetiscidae_Baetisca_lacustris,EP087,EP087,EP087,EP087,EP087,EP087
HOG_106201_P003_WA02,EP144,n,y,EP144_Ephemeroptera_Furcatergalia_Ephemerelloidea_Ephemerellidae_Hyrtanella_pascalae,EP144,EP144,EP144,EP144,EP144,EP144
HOG_106201_P003_WB02,EP189,n,y,EP189_Ephemeroptera_Furcatergalia_Ephemerelloidea_Ephemerellidae_Dentatella_coxalis,,,,,,
HOG_106201_P003_WC02,EP204,y,y,EP204_Ephemeroptera_Furcatergalia_Ephemerelloidea_Ephemerellidae_Drunella_ishiyamana,,,,,,
HOG_106201_P003_WD02,EP315,y,y,EP315_Ephemeroptera_Pisciforma_NA_Baetidae_Edmulmeatus_grandis ,,,,,,
HOG_106201_P003_WE02,EP381,y,y,EP381_Ephemeroptera_Setisura_NA_Heptageniidae_Rhithrogena_gratianopolitana,,,,,,
HOG_106201_P003_WF02,EP382,y,n,EP382_Ephemeroptera_Setisura_NA_Heptageniidae_Rhithrogena_savoiensis,,,,,,
HOG_106201_P003_WG02,EP388,y,y,EP388_Ephemeroptera_Setisura_NA_Oligoneuriidae_Oligoneuriella_rhenana,,,,,,
HOG_106201_P003_WH02,EP389,n,y,EP389_Ephemeroptera_Setisura_NA_Heptageniidae_Ecdyonurus_torrentis,,,,,,
HOG_106201_P003_WA03,EP391,y,n,EP391_Ephemeroptera_Setisura_NA_Heptageniidae_Heptagenia_longicauda,,,,,,
HOG_106201_P003_WB03,EP392,y,n,EP392_Ephemeroptera_Furcatergalia_Leptophlebioidea_Leptophlebiidae_Habroleptoides_confusa,,,,,,
